New Product, Nuevo producto
New Category, Nueva categoria
New Collection, Nueva coleccion
New Attribute, Nuevo atributo
New Customer, Nuevo cliente
New Coupon, Nuevo cupon
New Page, Nueva pagina
New Widget, Nuevo widget
Create a new product, Crear nuevo producto
Create a new category, Crear nueva categoria
Create a new collection, Crear nueva coleccion
Create a new attribute, Crear nuevo atributo
Create A New Customer, Crear nuevo cliente
Create a new coupon, Crear nuevo cupon
Create a new page, Crear nueva pagina
Create a new widget, Crear nuevo widget
Editing, Editando
Products, Productos
Categories, Categorias
Collections, Colecciones
Attributes, Atributos
Customers, Clientes
Coupons, Cupones
Cms Pages, Paginas CMS
Widgets, Widgets
Orders, Pedidos
Dashboard, Panel de control
Product updated successfully, Producto actualizado exitosamente
Category updated successfully, Categoria actualizada exitosamente
Customer updated successfully, Cliente actualizado exitosamente
Coupon updated successfully, Cupon actualizado exitosamente
Order updated successfully, Pedido actualizado exitosamente
Setting saved successfully, Configuracion guardada exitosamente
Are you sure you want to delete this?, ¿Estas seguro de que quieres eliminar esto?
This action cannot be undone, Esta accion no se puede deshacer
Bulk actions, Acciones masivas
Select all, Seleccionar todos
Deselect all, Deseleccionar todos
items selected, elementos seleccionados
No items selected, No hay elementos seleccionados
Product name, Nombre del producto
Product type, Tipo de producto
Product status, Estado del producto
Product price, Precio del producto
Product SKU, SKU del producto
Product stock, Inventario del producto
Category name, Nombre de la categoria
Collection name, Nombre de la coleccion
Attribute name, Nombre del atributo
Attribute code, Codigo del atributo
Customer name, Nombre del cliente
Customer email, Correo del cliente
Coupon code, Codigo del cupon
Discount amount, Monto del descuento
Order number, Numero de pedido
Order status, Estado del pedido
Order total, Total del pedido
Order date, Fecha del pedido
Shipping method, Metodo de envio
Payment method, Metodo de pago
Payment status, Estado del pago
Shipment status, Estado del envio
Pending, Pendiente
Processing, Procesando
Completed, Completado
Cancelled, Cancelado
Refunded, Reembolsado
On hold, En espera
Shipped, Enviado
Delivered, Entregado
Returned, Devuelto
Store Setting, Configuracion de la tienda
Payment Setting, Configuracion de pagos
Store name, Nombre de la tienda
Store description, Descripcion de la tienda
Store currency, Moneda de la tienda
Store language, Idioma de la tienda
Store timezone, Zona horaria
Store weight unit, Unidad de peso
Store logo, Logo de la tienda
SEO, SEO
Meta title, Meta titulo
Meta description, Meta descripcion
Meta keywords, Meta palabras clave
URL key, Clave URL
Visibility, Visibilidad
Visible, Visible
Hidden, Oculto
Sort order, Orden
Priority, Prioridad
Required, Obligatorio
Optional, Opcional
Yes, Si
No, No
